1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025
561155973855.3418,331678146583.0091,238065954181.8411,306648802511.69617,283921549539.63696,302284839288.0386,466657790354.3519,410844168869.51965,459536814463.76746,244539767687.2308,205560335646.06235,195944873341.2175,246640085117.70865,305423714630.6697,106753116960.49734,195575995948.41092,108812081964.35506,203175449315.11765,240588631530.04803,143535592001.1186,233678022423.80576,424108518033.70404,135252721079.9789,216024075265.7486,106781332642.81296,191632324990.74496,149456370306.07385,100500997537.3308,176217820762.22192,111826602630.53255,149808895393.75516,203927586790.31998,407037838929.46063,266570393442.58212,214470792145.09604,196548033636.5866,136360853198.65703,207032410562.44595,68834219150.54108,151933957262.0893,90307984328.22757,280249325523.4816,168031309137.25232
331678146583.0091,1426548141211.1367,537267015939.8914,689265660253.5693,599995104256.59375,636678246036.3611,1040338901967.0836,895707603953.7844,912200489920.4294,621221895933.8328,426828616730.3655,443669145155.5502,558058688712.651,805524485221.5032,294778279729.8629,408333919075.5277,233150973966.48685,432757023920.0512,551154858262.4944,347147688266.84216,526566506518.0478,788594064049.7915,363039054592.85364,527281805957.7371,241862744040.34982,505010050659.88116,296643608458.44385,246674629619.16333,378557701422.3064,252856318817.0031,350456648712.98956,468794872417.2923,868857428897.5385,584277394214.4437,494046416036.3919,412805661625.9062,260269190515.09613,520906262405.59247,154637811289.27054,339238864146.42303,215774415957.99484,640710093984.6771,337558520837.0934
238065954181.8411,537267015939.8914,1028732986390.2725,497194004264.5245,489539895483.1058,433860236420.48334,766827716873.4954,652641149643.4102,804702809579.337,375613759585.34045,333772539465.3802,328250293491.8316,429718097451.6777,499648037207.1115,205017385962.57587,271556090541.52335,177243694966.67606,323442411406.1662,414805783476.024,272633937699.8728,402543867536.98004,624810437946.7513,244670045423.82343,368450910767.0967,189908649204.7868,374665555223.61676,236596224079.18402,173606125330.16055,250403474249.96606,206515603245.7725,258731381852.12265,376302382577.92145,677763237346.5535,414294508514.10736,320203340978.67126,323611072506.7855,232834246896.4436,375901068780.72003,133839577516.62653,305218167366.89307,144554896667.2708,518996901014.61816,285170529680.11066
306648802511.69617,689265660253.5693,497194004264.5245,1226089634666.8088,570039049094.0145,521317771968.5759,1043335628069.3658,894667307421.4014,1024401504202.1781,612343801324.4103,401854818532.28265,441409350219.1323,553472372147.3359,786220610257.8861,282708141660.655,366615375879.89526,250534923147.5022,466812931883.185,581445215127.2684,351889765437.0866,522345523255.2432,612663857535.6584,355361812809.06683,486132174210.56885,258608362228.00482,487670614878.4276,327253006324.1588,227833778957.96118,339003336423.07355,267512085261.4148,313201396656.63226,491441053317.56525,852326627885.6682,596401890883.9729,476538819043.83215,412250104164.56616,266871463320.33133,518171490534.8476,167906686940.1652,365004557665.47485,224305600302.8852,686151595628.6338,310163661013.69556
283921549539.63696,599995104256.59375,489539895483.1058,570039049094.0145,1183562626688.4524,578365764822.4272,864703407621.4346,793534760612.3489,848725996297.6339,534603122402.24506,380224135559.0335,426156273335.10785,475919667896.44183,635667184590.7498,273715531760.59555,324126036904.15906,175910759685.0351,391762797402.9709,466760728827.94305,284674888474.94305,462271109976.7368,624552438664.2999,301381119008.9224,442483160962.114,198280693450.44864,406213160090.0472,267492226040.44028,211125266686.0387,318848363087.2977,217224761025.14038,292245835346.0949,401258159898.0071,760920194015.2079,455623137204.3638,419805201067.3711,363129826258.5391,250252573883.88104,424328379927.63434,147780015948.5556,290180145252.191,180244302498.82138,551743035521.2592,306901198411.37225
302284839288.0386,636678246036.3611,433860236420.48334,521317771968.5759,578365764822.4272,1895502994062.8367,830992679571.8275,787860014728.1907,892229016330.9257,570724822316.3845,425234405501.3573,424907470506.3863,467187470124.1921,675241302847.2695,260292403382.78656,341950382355.32855,162599065710.0726,392133940926.3603,484699685055.9892,300301665192.4667,403800594727.30096,905366810544.6873,313210662996.34174,423220156193.79755,208169733316.75693,423892130223.3363,271033695454.9659,191453079933.88947,284780992568.7125,215384120698.15854,340265509359.3123,402936751812.3958,756189445431.286,500380037126.0502,415625171551.2646,369121881081.39594,262696239069.25583,404720688565.6264,134724578906.73987,334536387635.2543,174333602408.76312,569787765505.9987,274373970699.11597
466657790354.3519,1040338901967.0836,766827716873.4954,1043335628069.3658,864703407621.4346,830992679571.8275,3866824993255.337,1395804311490.424,1489515494854.8962,1087966009879.0043,654412958859.7551,631960440003.0762,808565863378.5371,953323636499.2056,424588322031.3463,473676465140.6227,324714792836.2845,623599220486.5858,821135064149.3132,509354707561.4418,800411608160.1025,1407911712927.6692,534861283953.598,714743150152.5078,371343732742.817,669849370044.3236,491626452623.1065,315607258976.4877,477353409368.5866,358320724865.04443,521290191403.87195,657818846669.7025,1292280443004.7925,859416427380.6223,727034537974.1243,610967915780.6016,407996977902.97394,754734240661.8221,243502391804.93625,570357024569.5027,291731662570.27765,1013708110339.0085,478873775444.8674
410844168869.51965,895707603953.7844,652641149643.4102,894667307421.4014,793534760612.3489,787860014728.1907,1395804311490.424,2350350554236.157,1248702050382.397,799222455332.7351,514487756002.78687,564315849510.8633,707961352886.0862,1111045474294.064,373850773583.6847,504962106057.83887,289100756210.14624,574389118578.3372,781675431865.1877,464270346287.16156,669059976247.8174,1237744651280.7039,460916686886.72034,646414803929.7367,324918787954.7713,618774107170.4779,423600429884.0011,287340045483.93567,438434397639.7682,335192038315.6049,447045907972.25354,602642962070.2129,1082821579478.963,751261981745.7628,642786039687.6655,530965023411.03876,402092097674.16595,614970102372.9976,204515316513.72183,482301731263.47437,240444901191.80734,901455535708.7845,424423590184.91766
459536814463.76746,912200489920.4294,804702809579.337,1024401504202.1781,848725996297.6339,892229016330.9257,1489515494854.8962,1248702050382.397,5579474728311.985,873313404230.5093,703858419017.6368,734481858106.9818,727751636152.1539,688252910175.1555,392035467486.27924,485033705552.30536,291297170441.5761,622193999210.0161,910988583721.585,520392610439.1788,818181312117.1095,1561804604800.8872,499744823206.5642,652074113656.1385,333436524382.4125,699097963237.0342,481238990374.5394,354387152746.93835,513523120680.7242,379136616585.6078,503316963490.8548,673594289761.7645,1380712539292.0505,908350897802.1348,632544410057.1787,653527842861.2543,267806746349.84955,772600509312.0688,244680856519.8489,509224386745.62604,316906912913.48145,914952766614.9808,548835068216.42114
